OrderID,Date,ProductID,CustomerID,Quantity,UnitPrice
O0214,2025-09-09,P008,C013,8,132.23
O0215,2025-02-17,P003,C020,5,18.93
O0216,2025-12-21,P001,C017,4,13.98
O0217,2025-10-25,P002,C007,6,39.13
O0218,2025-09-29,P003,C016,6,20.88
O0219,2025-10-09,P008,C004,6,109.29
O0220,2025-08-21,P011,C005,5,7.4
O0221,2025-04-29,P006,C006,2,69.2
O0222,2025-06-11,P008,C003,2,129.63
O0223,2025-12-20,P011,C004,3,6.99
O0224,2025-09-05,P012,C011,5,5.94
O0225,2025-09-26,P008,C007,5,141.99
O0226,2025-04-10,P002,C022,5,34.8
O0227,2025-04-02,P005,C022,5,25.4
O0228,2025-10-01,P005,C011,3,29.15
O0229,2025-01-28,P003,C012,5,23.5
O0230,2025-03-06,P012,C004,8,4.45
O0231,2025-01-07,P010,C015,5,10.65
O0232,2025-08-14,P012,C017,6,4.64
O0233,2025-01-27,P009,C019,5,43.06
O0234,2025-09-02,P009,C020,2,41.15
O0235,2025-07-25,P011,C011,8,6.57
O0236,2025-11-19,P011,C007,1,6.85
O0237,2025-10-16,P004,C003,5,22.02
O0238,2025-05-08,P001,C024,2,15.69
O0239,2025-08-02,P006,C014,4,70.72
O0240,2025-07-14,P003,C015,8,25.52
O0241,2025-06-02,P008,C018,7,106.88
O0242,2025-11-14,P006,C015,1,66.07
O0243,2025-02-20,P005,C023,4,34.21
O0244,2025-05-16,P003,C006,2,18.31
O0245,2025-03-30,P009,C014,2,30.5
O0246,2025-07-29,P009,C016,8,39.03
O0247,2025-08-29,P008,C005,5,92.7
O0248,2025-05-28,P001,C012,5,16.68
O0249,2025-08-21,P004,C015,2,29.25
O0250,2025-05-16,P004,C002,4,26.1
O0251,2025-10-06,P001,C004,4,16.3
O0252,2025-05-17,P006,C004,3,51.0
O0253,2025-03-26,P007,C003,5,16.88
O0254,2025-10-19,P008,C023,5,113.84
O0255,2025-08-28,P007,C015,5,17.64
O0256,2025-05-20,P008,C018,8,113.76
O0257,2025-11-03,P011,C002,1,9.5
O0258,2025-06-15,P001,C022,5,12.08
O0259,2025-04-28,P012,C016,1,6.6
O0260,2025-12-11,P003,C009,5,22.33
O0261,2025-03-31,P001,C011,8,15.43
O0262,2025-08-15,P005,C014,5,27.81
O0263,2025-10-27,P005,C025,7,34.34
O0264,2025-09-09,P009,C025,2,35.52
O0265,2025-07-29,P004,C003,6,24.85
O0266,2025-02-23,P011,C018,3,7.49
O0267,2025-12-22,P001,C005,8,13.86
O0268,2025-07-25,P006,C002,1,61.74
O0269,2025-06-11,P005,C007,5,29.86
O0270,2025-07-26,P001,C019,1,16.37
O0271,2025-10-05,P001,C005,8,14.71
O0272,2025-04-07,P007,C022,6,17.08
O0273,2025-09-13,P007,C002,8,18.07
O0274,2025-04-15,P009,C009,5,36.79
O0275,2025-05-28,P002,C024,8,46.3
O0276,2025-09-06,P008,C012,2,92.5
O0277,2025-11-19,P005,C002,4,35.42
O0278,2025-06-09,P009,C024,1,36.84
O0279,2025-02-17,P010,C023,4,13.16
O0280,2025-02-28,P011,C016,8,9.71
O0281,2025-11-28,P012,C007,3,5.4
O0282,2025-05-30,P009,C019,5,34.65
O0283,2025-09-05,P002,C020,8,35.09
O0284,2025-10-10,P007,C016,3,15.36
O0285,2025-11-03,P004,C022,3,31.37
O0286,2025-05-22,P008,C008,7,108.67
O0287,2025-09-17,P004,C018,5,30.85
O0288,2025-05-25,P003,C007,5,24.84
O0289,2025-10-24,P001,C012,8,17.78
O0290,2025-08-17,P004,C018,8,25.14
O0291,2025-10-10,P010,C001,7,10.59
O0292,2025-06-14,P002,C025,4,48.06
O0293,2025-05-03,P012,C024,7,4.76
O0294,2025-07-30,P002,C015,1,36.4
O0295,2025-08-31,P005,C021,7,30.76
O0296,2025-12-06,P010,C007,3,10.78
O0297,2025-01-19,P007,C013,3,16.22
O0298,2025-10-30,P004,C021,6,31.44
O0299,2025-08-14,P007,C016,2,16.39
O0300,2025-08-22,P008,C005,1,128.57
O0301,2025-07-29,P006,C007,3,51.1
O0302,2025-05-16,P010,C008,6,11.39
O0303,2025-07-23,P011,C012,2,9.37
O0304,2025-12-12,P012,C022,7,6.49
O0305,2025-11-17,P004,C025,8,31.47
O0306,2025-01-19,P010,C009,2,9.53
O0307,2025-12-17,P002,C017,5,48.35
O0308,2025-02-16,P008,C004,7,141.87
O0309,2025-11-21,P001,C008,2,14.92
O0310,2025-12-22,P011,C015,5,9.55
O0311,2025-01-24,P011,C004,6,9.17
O0312,2025-05-31,P001,C025,6,14.45
O0313,2025-03-16,P005,C015,4,32.85
O0314,2025-10-17,P008,C008,3,99.84
O0315,2025-02-10,P007,C011,7,17.06
O0316,2025-05-04,P009,C005,8,42.61
O0317,2025-03-15,P004,C006,4,26.53
O0318,2025-05-11,P005,C015,8,28.88
O0319,2025-01-05,P005,C014,8,38.18
O0320,2025-12-13,P004,C010,3,21.89
O0321,2025-06-26,P002,C020,5,42.05
O0322,2025-08-06,P004,C015,5,26.48
O0323,2025-06-04,P007,C006,4,19.8
O0324,2025-09-05,P007,C012,2,14.31
O0325,2025-10-20,P010,C009,6,11.16
O0326,2025-12-25,P003,C020,5,17.01
O0327,2025-12-04,P008,C004,7,105.27
O0328,2025-10-17,P007,C005,1,19.16
O0329,2025-09-12,P001,C015,5,17.18
O0330,2025-04-28,P012,C021,6,4.73
O0331,2025-04-08,P007,C017,5,17.48
O0332,2025-12-04,P007,C008,3,17.12
O0333,2025-11-18,P008,C018,1,107.06
O0334,2025-08-14,P005,C009,1,33.55
O0335,2025-03-09,P012,C021,2,6.38
O0336,2025-06-17,P004,C020,7,23.11
O0337,2025-03-09,P012,C006,6,5.47
O0338,2025-05-20,P011,C001,3,7.23
O0339,2025-09-04,P010,C002,5,11.98
O0340,2025-06-23,P003,C013,2,21.3
O0341,2025-02-08,P008,C005,3,130.22
O0342,2025-04-26,P003,C013,7,26.09
O0343,2025-10-13,P008,C008,6,95.7
O0344,2025-07-22,P001,C012,1,13.7
O0345,2025-03-05,P002,C004,8,37.29
O0346,2025-12-11,P007,C009,5,16.81
O0347,2025-11-23,P005,C011,6,26.76
O0348,2025-04-30,P006,C003,8,49.7
O0349,2025-10-15,P006,C017,6,74.63
O0350,2025-04-24,P002,C014,2,41.98
O0351,2025-08-26,P010,C014,5,11.52
O0352,2025-03-01,P002,C010,3,31.6
O0353,2025-01-20,P006,C002,5,76.89
O0354,2025-03-01,P003,C013,2,19.05
O0355,2025-10-03,P002,C007,3,37.64
O0356,2025-07-09,P011,C010,7,8.41
O0357,2025-03-21,P004,C021,7,28.86
O0358,2025-09-08,P002,C013,7,47.33
O0359,2025-05-24,P009,C023,1,39.04
O0360,2025-04-22,P002,C002,8,38.63
O0361,2025-05-01,P006,C019,6,51.78
O0362,2025-12-18,P001,C012,6,15.6
O0363,2025-11-27,P010,C004,6,8.69
O0364,2025-05-22,P004,C021,4,32.62
O0365,2025-08-21,P001,C022,2,16.41
O0366,2025-11-25,P009,C025,1,28.81
O0367,2025-06-20,P002,C013,4,48.2
O0368,2025-10-17,P006,C016,4,50.92
O0369,2025-10-11,P007,C024,4,16.82
O0370,2025-04-30,P007,C019,6,18.18
O0371,2025-11-02,P003,C021,1,19.46
O0372,2025-03-16,P010,C024,3,10.99
O0373,2025-03-31,P007,C016,2,17.36
O0374,2025-01-14,P003,C025,3,16.94
O0375,2025-05-02,P007,C019,6,12.71
O0376,2025-05-16,P003,C011,1,18.02
O0377,2025-08-04,P009,C005,2,39.93
O0378,2025-09-01,P001,C011,8,17.19
O0379,2025-09-20,P012,C012,2,5.28
O0380,2025-04-24,P001,C015,1,16.85
O0381,2025-12-04,P001,C013,5,15.01
O0382,2025-01-16,P009,C020,1,43.98
O0383,2025-07-25,P007,C021,7,17.54
O0384,2025-09-09,P012,C009,8,4.38
O0385,2025-02-11,P001,C003,6,16.04
O0386,2025-02-03,P006,C019,3,56.7
O0387,2025-11-21,P009,C013,6,34.09
O0388,2025-11-02,P008,C017,5,114.59
O0389,2025-11-06,P001,C024,7,12.57
O0390,2025-12-26,P005,C025,2,37.48
O0391,2025-11-30,P003,C007,4,20.93
O0392,2025-04-27,P003,C018,7,20.05
O0393,2025-08-21,P008,C010,7,112.63
O0394,2025-02-18,P010,C001,6,10.45
O0395,2025-12-07,P010,C025,5,10.2
O0396,2025-03-20,P006,C009,8,50.88
O0397,2025-02-13,P006,C008,2,61.09
O0398,2025-07-10,P004,C011,3,27.68
O0399,2025-10-28,P008,C011,6,125.84
O0400,2025-07-30,P001,C020,6,17.84
